"Part Name","Quantity","Price (CAD)","Description","Link"
"PLS-P830985","1","$30.65","Speaker","https://www.digikey.ca/en/products/detail/peerless-by-tymphany/PLS-P830985/6211132"
"Raspberry Pi Touch Display V1","1","$85.95","7-inch touchscreen display for Raspberry Pi","https://www.digikey.ca/en/products/detail/raspberry-pi/ASIN-B00X4WHP5E/6211133"
"Raspberry Pi 5 4GB","1","$109.95","Mini computer","https://www.amazon.ca/Raspberry-Pi-4GB-2023-Processor/dp/B0CK3L9WD3/"
"Stereo 20W Class D Audio Amplifier - MAX9744","1","$19.95","Audio amplifier for Raspberry Pi","https://www.digikey.ca/en/products/detail/adafruit-industries-llc/1752/4990780"
"VER36US120-JA","1","$30.04","Wall adapter","https://www.digikey.ca/en/products/detail/xp-power/VER36US120-JA/6220859"
"PJ-037AH","1","$1.01","Power Jack","https://www.digikey.ca/en/products/detail/same-sky-formerly-cui-devices/PJ-037AH/1644547"
"USB Mini Mic","1","$6.99","USB microphone for audio input","https://www.amazon.ca/Mini-Microphone-Skype-Desktop-Laptop/dp/B076BC2Y3W/"
"0297003.U","1","$0.57","A 3A fuse, so I don't burn my house down","https://www.digikey.ca/en/products/detail/littelfuse-inc/0297003-U/3427703"
"UGREEN USB Audio Adapter","1","$14.39","A USB audio dongle","https://www.amazon.ca/UGREEN-Adapter-Support-Headphone-Compatible-dp-B08Y8CZB2S/dp/B08Y8CZB2S/ref=dp_ob_title_ce"
"LC78_05-3.0","1","$19.52","A 5V 3A power supply for the Raspberry Pi","https://www.digikey.ca/en/products/detail/gaptec-electronic/LC78-05-3-0/13692361"
"Aux Cable 1Ft","1","$6.99","A 1ft aux cable to connect the amp to the Raspberry Pi","https://www.amazon.ca/Tan-QY-Auxiliary-Compatible-Headphones/dp/B08BNMJ3ND/"
"5183","1","$6.99","Temperature and humidity sensor","https://www.amazon.ca/Temperature-Humidity-Sensor-Module-5V/dp/B07Z3X9F6H/ref=sr_1_4?crid=1K2Q0W7J8Y2X&dib=eyJ2IjoiMSJ9.0b3gkqj4d"
"4698","1","$23.24","Color Light Sensor","https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4698/13162109"
"LSYGXYZ 6 Pieces Acrylic Rods","1","$8.99","Acrylic rods to have the light sensor inside the case","https://www.amazon.ca/LSYGXYZ-Acrylic-Decorations-Gardening%EF%BC%883mm-Diameter%EF%BC%89/dp/B09M846847/"
"Total","","$365.23 CAD","",""
